NAME,TAB_NAME,SHORT_DESC,DESC1,DESC2,DESC3,DESC4,DESC5,WEBSITE,PIC_URL,THUMB_URL,LAT,LONG
Gaslamp Quarter,Fun,"San Diego's entertainment, dining and partying hub.","This is the most popular evening destination in downtown. You'll find bustling restaurants, bars and shops in restored late Victorian buildings all along Fifth Avenue and its neighboring streets immediately north of the Convention Center.","Very lively night-time street life. It is easy to walk from all the convention hotels to the Gaslamp Quarter, and there are plenty of taxis and rickshaws too.","The Gaslamp Quarter station on Harbor Drive is the best trolley station to use. East of the Gaslamp is the East Village, San Diego's up and coming warehouse district.","West of the Gaslamp between G street and Broadway is Horton Plaza, the outdoor mall that was instrumental in stimulating the revitalization of downtown.",,http://www.gaslamp.org,http://downloads.esri.com/blogs/places/sandiego/gaslamp_quarter_large.jpg,http://downloads.esri.com/blogs/places/sandiego/gaslamp_quarter_thumb.jpg,32.70831546,-117.1601181
Petco Park,Fun,Home of San Diego Padres baseball.,Petco Park is the centerpiece of the redevelopment of the East Village area of downtown San Diego. One of the distinctive brick warehouses in this area has been nicely integrated into the stadium design.,On the north side of the stadium there's a public park with a great view over the baseball field and the surrounding skyline. The park is open daily and admission is free when there's not a home game.,"All three San Diego trolley lines serve Petco Park. On the Green line, go to the Gaslamp Quarter station. On the Blue or Orange lines, go to the 12th and Imperial station.",,,http://links.esri.com/sandiego/places/petco_park,http://downloads.esri.com/blogs/places/sandiego/petco_park_large.jpg,http://downloads.esri.com/blogs/places/sandiego/petco_park_thumb.jpg,32.70826776,-117.1569401
San Diego Trolley,Fun,"For the most fun in downtown San Diego, skip driving and parking and take the trolley!","Buy your ticket at the machine and jump aboard! A good deal is the transit day pass which you can use on all trolleys and buses. There are three trolley lines (Green, Blue and Orange) but all the trains are bright red.","The Green Line serves many popular destinations for visitors including the Convention Center, Seaport Village, Gaslamp District, Petco Park, Little Italy, Old Town, Mission Valley and Qualcomm Stadium.",The Blue Line starts at America Plaza in downtown and goes south to San Ysidro at the border crossing for Tijuana. The Orange line starts at the Santa Fe Depot train station in downtown goes east to El Cajon.,"Want to get to the beach from downtown without a car? For Mission Beach, take the Green Line trolley to Old Town then bus 8. For Pacific Beach or La Jolla, take bus 30 from Old Town (on weekdays before 7pm you can catch the 30 on Broadway in downtown).","For Seaworld, take bus 9 at Old Town (this bus also goes to Pacific Beach). For Coronado's beach and the Hotel Del Coronado, take bus 901 from Broadway or simply grab a cab.",http://www.sdmts.com/trolley/trolley.asp,http://downloads.esri.com/blogs/places/sandiego/san_diego_trolley_large.jpg,http://downloads.esri.com/blogs/places/sandiego/san_diego_trolley_thumb.jpg,32.709254,-117.163754
San Diego Maritime Museum,Fun,Interesting bayside museum with beautiful ships.,"Among the exhibits are the beautiful Star Of India (the world's oldest active sailing ship), two submarines, and the replica 24-gun frigate used in the movie Master and Commander.","Although you can walk right up to the Star Of India without paying admission, it is well worth entering the museum to go onboard the ship's decks and climb down into its enormous cargo hold, and to explore the other vessels.",Don't miss the chance to go onboard a Russian submarine. Engineers will also be impressed by the enormous engine room of the Berkeley steam ferry.,,,http://www.sdmaritime.org/,http://downloads.esri.com/blogs/places/sandiego/maritime_museum_large.jpg,http://downloads.esri.com/blogs/places/sandiego/maritime_museum_thumb.jpg,32.72029705,-117.1734257
San Diego Bay cruise,Fun,Get out on the water! Go on a scenic cruise around San Diego Bay.,"There are two companies offering cruises: Hornblower and Flagship. Flagship also runs the two ferry routes over to Coronado and the San Diego Water Taxi. Taking a Bay cruise is a great way to get out on the water, relax, and get orientated to San Diego. ","Our photo shows the Admiral Hornblower, one of Hornblower's tour fleet, and our web link takes you to Hornblower's website. Hornblower's fleet includes the Inspiration Hornblower, the largest charter yacht in Southern California.","Tip: If your tour heads out to the west side of the Bay by Point Loma, look out for the pens of the US Navy Marine Mammal Program, declassified in the early 1990s, where they train dolphins and sea lions for ship and harbor protection.",Whale watching trips are also available from various companies. The gray whale watching season is typically December through April. The blue whale season is mid-June to September.,,http://links.esri.com/sandiego/places/harbor_cruise,http://downloads.esri.com/blogs/places/sandiego/bay_tour_large.jpg,http://downloads.esri.com/blogs/places/sandiego/bay_tour_thumb.jpg,32.71686893,-117.173425
Ferry to Coronado,Fun,Take a ferry ride over the bay to the Coronado Ferry Landing.,"From the ferry there's a super view of the USS Midway. The 15 minute ride takes you over to the Coronado Ferry Landing where you can enjoy great views of the San Diego skyline, several restaurants, and a bayside path.","From the Coronado Ferry Landing you can take bus route 904 across the peninsula to Coronado's beach, quaint downtown and the famous Hotel Del Coronado. Bus 904 is every hour (no evening or Sunday service).",The adventurous can also walk or bike across the peninsula through the leafy residential streets. Tip:  You can take this ferry for free between 5.15am and 8.10am for an early morning walk or jog at Coronado. See the website for the commuter schedule.,The ferry ride from the Convention Center to the Coronado Ferry Landing is shorter. Buy your ticket at the machine or office at the south end of the super-yacht dock.,,http://links.esri.com/sandiego/places/ferry,http://downloads.esri.com/blogs/places/sandiego/broadway_ferry_large.jpg,http://downloads.esri.com/blogs/places/sandiego/broadway_ferry_thumb.jpg,32.71613001,-117.173433
Puesto,Food,Popular new wave Mexican place in former police headquarters,"This new wave Mexican restaurant is in the upscale Headquarters, an adaptive re-use of the historic police headquarters. Lively, interesting space with large patio. ",Tuesday evening deals on tacos & drinks are popular with locals. There's a small museum opposite where you can go into one of the building's original cell blocks. ,There are several other dining options in The Headquarters and Seaport Village but Puesto is the one we recommend.,There's another Puesto in La Jolla Village.,,http://www.eatpuesto.com/,http://downloads.esri.com/blogs/places/sandiego/puesto_downtown_large.jpg,http://downloads.esri.com/blogs/places/sandiego/puesto_downtown_thumb.jpg,32.710728,-117.170217
The Fish Market,Food,Best seafood place with views of the bay.,Big busy fish place with separate oyster bar and sushi bar. Also has a quieter but more expensive 'Top Of the Market' restaurant upstairs. Short walk northwest along the waterfront from the convention center hotels or take a rickshaw.,Just head for the aircraft carrier (the Midway) and it is at the end of the huge parking lot to your left before you reach the ship.,,,,http://links.esri.com/sandiego/places/fish_market,http://downloads.esri.com/blogs/places/sandiego/the_fish_market_large.jpg,http://downloads.esri.com/blogs/places/sandiego/the_fish_market_logo.jpg,32.7126004,-117.1755936
The Lion's Share,Food,Very hip gastropub with creative art works near major hotels.,"This creative, atmospheric, small gastropub attracts a fun local yuppie crowd and is a good choice if you are staying in nearby hotels and don't want to walk to the Gaslamp Quarter. They have some unique artwork. ",This is the coolest place to go in the mostly residential Marina district especially if you are looking for something different from the options in the more visitor-oriented Headquarters and Seaport Village destinations that are nearby.,"It's adjacent to the undigitizable junction where Kettner Blvd, G Street, three train tracks, a bike path, and a trolley station all intersect.",,,http://lionssharesd.com/,http://downloads.esri.com/blogs/places/sandiego/the_lions_share_large.jpg,http://downloads.esri.com/blogs/places/sandiego/the_lions_share_thumb.jpg,32.711807,-117.169026
Jimbo's Natural Food Grocer,Food,"Large natural foods supermarket with deli, bakery and juice bar featuring lots of good things to eat.","This is the best choice in downtown for quick healthy food you can eat in their cafe area or take out. Very similar to a Whole Foods Market, Jimbo's has several locations in the San Diego region.","Stock up on all the goodies you need. Try their bakery, salad bar, custom juices, etc. It's a full supermarket and grocery too.","Unusually for a supermarket, this is on a second floor. Horton Plaza is the main shopping mall in downtown San Diego and was somehow able to accommodate Jimbo's large footprint in on its second floor level. As a result, the store is not really visible from the street as you walk up 1st Avenue from G Street.","On the other side of G Street, Ralph's supermarket is much busier and more visible but very standard compared to Jimbo's.",,http://jimbos.com/,http://downloads.esri.com/blogs/places/sandiego/jimbos_large.jpg,http://downloads.esri.com/blogs/places/sandiego/jimbos_thumb.jpg,32.71341,-117.16326
